Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.3818,Sat Oct 13 14:08:09 +0000 2018,0.874,0.0,0.126,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😍 Pumpkin patches, grape harvests and rutting stags. 

🍁🍂 These autumnal scenes from across the UK are stunning. 
👉… https://t.co/xSek0rifau",63
0.1027,Sat Oct 13 12:54:03 +0000 2018,0.924,0.0,0.076,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","📚 From the story of a utopian community to a cyber-terrorism thriller, here are some reading ideas for October.
👉… https://t.co/sfAg3agzMN",64
0.0,Sat Oct 13 12:36:37 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCOne: Anna, Kristoff and Olaf have a close encounter with the marshmallow man... #Frozen on @bbcone at 4pm. https://t.co/s7tZWvavBv",65
0.6369,Sat Oct 13 12:34:41 +0000 2018,0.819,0.0,0.181,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBC6Music: Which songs should feature on - Alan Partridge's (@AccidentalP) favourite LP - The Best of @TheBeatles?

Sunday from 6pm #NP…",66
0.0,Sat Oct 13 12:08:13 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This 25-year-old has invented a potential alternative to plastic packaging made from seaweed.
#DrowningInPlastic… https://t.co/E9d19ZDy75",67
-0.6597,Sat Oct 13 11:08:03 +0000 2018,0.794,0.206,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A sea half the size of England has dried up because of the horrific impact of fast fashion. https://t.co/kQP36ReY1y,68
-0.5254,Sat Oct 13 10:07:04 +0000 2018,0.524,0.306,0.169,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🖼 When art is so bad, it's good...

Why do people love these terrible paintings?
👉 https://t.co/AUJib3qDlt https://t.co/xo8iKq4BGz",69
-0.6597,Sat Oct 13 09:04:04 +0000 2018,0.694,0.306,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",💕 The moment a cancer patient discovers he's about to become a dad. https://t.co/Pqk5vJNrGy,70
0.0,Sat Oct 13 08:05:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",More women are graduating with PhDs in science – so why was Donna Strickland only the third female physicist to rec… https://t.co/hpVVCTRuv7,71
0.0,Sat Oct 13 07:08:05 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Arctic foxes have an incredible way to hunt in the snow. https://t.co/4YVe8wDZ9w,72
